id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation
case_00427,What is einstein was a theoretical physicist who?,unknown,unknown,1,1.0,1,0.0514,0.0,1.0,0.0,1.0,0.0514,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is einstein was a theoretical physicist who?"""
case_00428,What is serena williams is one of the?,started as ARPANET a,the most,0,0.0,1,0.0464,0.0,1.0,1.0,1.0,0.0464,contradicted,1,1,"Answer ""started as ARPANET a"" contradicts the evidence. The answer contains words (started, arpanet) that do not appear in the evidence at all; Key names or terms (arpanet) found in the answer are missing from the evidence. Evidence says: ""serena williams is one of the greatest tennis players of all time. she won 23 grand slam singles titles the most in the open era. she played with her sister venus and they dominated womens tennis for over a decade. shes also a businesswoman and venture capitalist."""
case_00429,What is the French Revolution began in 1789?,titles the most in,eventually took over and became,0,0.0,1,0.0495,0.0,1.0,0.0,1.0,0.0495,contradicted,1,1,"Answer ""titles the most in"" contradicts the evidence. The answer contains words (titles) that do not appear in the evidence at all. Evidence says: ""the French Revolution began in 1789 with the storming of the Bastille. the motto was liberte egalite fraternite. it got pretty bloody with the reign of terror under Robespierre executing 17000 people. Napoleon eventually took over and became emperor."""
case_00430,What is usain bolt is the fastest human?,to 1991 they never fought,timed he holds,0,0.0,1,0.05,0.0,1.0,0.0,1.0,0.05,contradicted,1,1,"Answer ""to 1991 they never fought"" contradicts the evidence. The answer contains words (they, never, fought) that do not appear in the evidence at all. Evidence says: ""usain bolt is the fastest human ever timed. he holds world records in the 100m 200m and 4x100m relay. from jamaica he won 8 olympic gold medals. his signature celebration is the lightning bolt pose. he retired in 2017 and tried football unsuccessfully."""
case_00431,What is most startups fail within the first?,frida kahlo was,frida kahlo was,1,1.0,1,0.0507,0.0,1.0,0.0,1.0,0.0507,contradicted,1,0,"Answer ""frida kahlo was"" contradicts the evidence. The answer contains words (frida, kahlo) that do not appear in the evidence at all. Evidence says: ""most startups fail within the first 2 years. the ones that succeed often pivot from their original idea. finding productmarket fit is the hardest part. venture capital is a hitsdriven business where a few companies return the entire fund. the lean startup methodology emphasizes rapid iteration and validated learning."""
case_00432,What is coffee is one of the most?,and most applications havent,from roasted coffee,0,0.0,1,0.0491,0.0,1.0,0.0,1.0,0.0491,contradicted,1,1,"Answer ""and most applications havent"" contradicts the evidence. The answer contains words (applications, havent) that do not appear in the evidence at all. Evidence says: ""coffee is one of the most consumed drinks worldwide. its made from roasted coffee beans which are actually the seeds of coffee cherries. brazil is the largest producer. caffeine blocks adenosine receptors making you feel alert. too much coffee makes me jittery personally."""
case_00433,What is serena williams is one of the?,de Janeiro is famous for,the greatest tennis players,0,0.0,1,0.0466,0.0,1.0,1.0,1.0,0.0466,contradicted,1,1,"Answer ""de Janeiro is famous for"" contradicts the evidence. The answer contains words (de, janeiro, famous) that do not appear in the evidence at all; Key names or terms (janeiro) found in the answer are missing from the evidence. Evidence says: ""serena williams is one of the greatest tennis players of all time. she won 23 grand slam singles titles the most in the open era. she played with her sister venus and they dominated womens tennis for over a decade. shes """
case_00434,What is michael jordan is widely considered the?,G A pairs,G A pairs,1,1.0,1,0.0488,0.0,1.0,0.0,1.0,0.0488,contradicted,1,0,"Answer ""G A pairs"" contradicts the evidence. The answer contains words (g, pairs) that do not appear in the evidence at all. Evidence says: ""michael jordan is widely considered the greatest basketball player ever. he won 6 NBA championships with the chicago bulls in the 1990s. his airness was known for his competitive drive and clutch performances. he also tried baseball and owned the charlotte hornets."""
case_00435,What is the cold war was a period?,that adjusts during training,that adjusts during training,1,1.0,1,0.0502,0.0,1.0,0.0,1.0,0.0502,contradicted,1,0,"Answer ""that adjusts during training"" contradicts the evidence. The answer contains words (that, adjusts, training) that do not appear in the evidence at all. Evidence says: ""the cold war was a period of geopolitical tension between the US and Soviet Union from 1947 to 1991. they never fought directly but proxy wars happened in korea vietnam afghanistan. the space race and arms race were major features. the Berlin Wall fell in 1989 symbolizing the end."""
case_00436,What is cnns dominated computer vision for years?,a run for their,a run for their,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.049,coherent,0,1,"Answer ""a run for their"" is consistent with the evidence."
case_00437,What is neural networks are computing systems vaguely?,xray crystallography data from,xray crystallography data from,1,1.0,1,0.046,0.0,1.0,0.0,1.0,0.046,contradicted,1,0,"Answer ""xray crystallography data from"" contradicts the evidence. The answer contains words (xray, crystallography, data) that do not appear in the evidence at all. Evidence says: ""neural networks are computing systems vaguely inspired by biological brains. they consist of layers of interconnected nodes called neurons. each connection has a weight that adjusts during training. deep learning mea"""
case_00438,What is DNA has a double helix structure?,C G,C G,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0494,coherent,0,1,"Answer ""C G"" is consistent with the evidence."
case_00439,What is evolution by natural selection was proposed?,military project in the,military project in the,1,1.0,1,0.0471,0.0,1.0,0.0,1.0,0.0471,contradicted,1,0,"Answer ""military project in the"" contradicts the evidence. The answer contains words (military, project) that do not appear in the evidence at all. Evidence says: ""evolution by natural selection was proposed by charles darwin in on the origin of species 1859. individuals with advantageous traits survive and reproduce more. over millions of years this drives adaptation and speciation. its often mischaracterized as survival of the fittest which is circular."""
case_00440,What is cats and dogs are the two?,with the turing machine,pets in the,0,0.0,1,0.0514,0.0,1.0,0.0,1.0,0.0514,contradicted,1,1,"Answer ""with the turing machine"" contradicts the evidence. The answer contains words (turing, machine) that do not appear in the evidence at all. Evidence says: ""cats and dogs are the two most popular pets in the world. dogs were domesticated about 15000 years ago while cats domesticated themselves about 10000 years ago. the internets favorite debate. dogs are pack animals cats are solitary. both are fine honestly depends on your lifestyle."""
case_00441,What is frida kahlo was a mexican painter?,humanitys greatest achievements conspiracy,rivera twice her work explores,0,0.0,1,0.0514,0.0,1.0,0.0,1.0,0.0514,contradicted,1,1,"Answer ""humanitys greatest achievements conspiracy"" contradicts the evidence. The answer contains words (humanitys, greatest, achievements, conspiracy) that do not appear in the evidence at all. Evidence says: ""frida kahlo was a mexican painter known for her self-portraits and surrealist style. she was in a terrible bus accident as a teenager that left her in pain her whole life. she married diego rivera twice. her work explores identity pai"""
case_00442,What is Photosynthesis is how plants convert sunlight?,sunlight into chemical,sunlight into chemical,1,1.0,1,0.0962,0.0,0.5,0.0,0.5,0.0481,contradicted,1,0,"Answer ""sunlight into chemical"" contradicts the evidence. The answer contains words (chemical) that do not appear in the evidence at all. Evidence says: ""What is Photosynthesis is how plants convert sunlight?"""
case_00443,What is neural networks are computing systems vaguely?,of sleep per night,computing systems,0,0.0,1,0.0494,0.0,1.0,0.0,1.0,0.0494,contradicted,1,1,"Answer ""of sleep per night"" contradicts the evidence. The answer contains words (sleep, per, night) that do not appear in the evidence at all. Evidence says: ""neural networks are computing systems vaguely inspired by biological brains. they consist of layers of interconnected nodes called neurons. each connection has a weight that adjusts during training. deep learning means having many layers. its not actually like a brain at all despite the name."""
case_00444,What is antarctica is the coldest driest and?,preserves it for,preserves it for,1,1.0,1,0.0521,0.0,1.0,0.0,1.0,0.0521,contradicted,1,0,"Answer ""preserves it for"" contradicts the evidence. The answer contains words (preserves, it) that do not appear in the evidence at all. Evidence says: ""What is antarctica is the coldest driest and?"""
case_00445,What is pizza originated in naples italy as?,competitive drive and clutch,controversal but,0,0.0,1,0.0508,0.0,1.0,0.0,1.0,0.0508,contradicted,1,1,"Answer ""competitive drive and clutch"" contradicts the evidence. The answer contains words (competitive, drive, clutch) that do not appear in the evidence at all. Evidence says: ""pizza originated in naples italy as a dish for poor people. the margherita pizza was created in 1889 to honor queen margherita with tomatoes mozzarella and basil representing the italian flag. its now a global phenomenon with endless variations. pineapple on pizza is controversal but honestly its fine."""
case_00446,What is frida kahlo was a mexican painter?,painter known for her self-portraits,painter known for her self-portraits,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0539,coherent,0,1,"Answer ""painter known for her self-portraits"" is consistent with the evidence."
case_00447,What is einstein was a theoretical physicist who?,unknown,unknown,1,1.0,1,0.0514,0.0,1.0,0.0,1.0,0.0514,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is einstein was a theoretical physicist who?"""
case_00448,What is quantum mechanics describes nature at the?,collapses the wavefunction,collapses the wavefunction,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0458,coherent,0,1,"Answer ""collapses the wavefunction"" is consistent with the evidence."
case_00449,What is adults need 7-9 hours of sleep?,jordan is widely considered,jordan is widely considered,1,1.0,1,0.0419,0.0,1.0,0.0,1.0,0.0419,contradicted,1,0,"Answer ""jordan is widely considered"" contradicts the evidence. The answer contains words (jordan, widely, considered) that do not appear in the evidence at all. Evidence says: ""adults need 7-9 hours of sleep per night for optimal health. sleep is when the brain clears waste products and consolidates memories. chronic sleep deprivation is linked to obesity heart disease and depression"""
case_00450,What is alan turing was a mathematician and?,is widely,is widely,1,1.0,1,0.0483,0.0,1.0,0.0,1.0,0.0483,contradicted,1,0,"Answer ""is widely"" contradicts the evidence. The answer contains words (widely) that do not appear in the evidence at all. Evidence says: ""alan turing was a mathematician and computer scientist. he formalized the concept of computation with the turing machine. he cracked the enigma code during ww2 which historians say shortened the war by years. he was prosecuted for homosexuality and chemicall"""
case_00451,What is michael jordan is widely considered the?,famous for,famous for,1,1.0,1,0.0471,0.0,1.0,0.0,1.0,0.0471,contradicted,1,0,"Answer ""famous for"" contradicts the evidence. The answer contains words (famous) that do not appear in the evidence at all. Evidence says: ""michael jordan is widely considered the greatest basketball player ever. he won 6 NBA championships with the chicago bulls in the 1990s. his airness was known for his competitive drive and clutch performances. he also tried baseb"""
case_00452,What is the internet started as ARPANET a?,1960s tim bernerslee invented the,1960s tim bernerslee invented the,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.049,coherent,0,1,"Answer ""1960s tim bernerslee invented the"" is consistent with the evidence."
case_00453,What is the roman empire at its peak?,scales and instruments streaming has,latin alphabet to western civilization,0,0.0,1,0.0478,0.0,1.0,0.0,1.0,0.0478,contradicted,1,1,"Answer ""scales and instruments streaming has"" contradicts the evidence. The answer contains words (scales, instruments, streaming) that do not appear in the evidence at all. Evidence says: ""the roman empire at its peak stretched from britain to mesopotamia. it lasted roughly 500 years from 27 BCE to 476 CE. they contibuted law engineering and the latin alphabet to western civilization. the fall was caused by a combination of economic decline military overspending and political corruption."""
case_00454,What is brazil is the largest country in?,in south america covering nearly,in south america covering nearly,1,1.0,1,0.0519,0.0,1.0,0.0,1.0,0.0519,contradicted,1,0,"Answer ""in south america covering nearly"" contradicts the evidence. The answer contains words (south, america, covering, nearly) that do not appear in the evidence at all. Evidence says: ""What is brazil is the largest country in?"""
case_00455,What is cryptography is the practice of secure?,driven by mantle,in the presence of,0,0.0,1,0.0467,0.0,1.0,0.0,1.0,0.0467,contradicted,1,1,"Answer ""driven by mantle"" contradicts the evidence. The answer contains words (driven, mantle) that do not appear in the evidence at all. Evidence says: ""cryptography is the practice of secure communication in the presence of adversaries. public key cryptography enables secure communication without sharing a secret key first. RSA and elliptic curve cryptography are widely used. quantum computers threaten to break current publickey systems. AES is still considered secure for symmetric encryption."""
case_00456,What is the moon is earths only natural?,was faked but theres overwhelming,was faked but theres overwhelming,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0488,coherent,0,1,"Answer ""was faked but theres overwhelming"" is consistent with the evidence."
case_00457,What is gradient descent is the workhorse optimization?,gradient descent is,gradient descent is,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0516,coherent,0,1,"Answer ""gradient descent is"" is consistent with the evidence."
case_00458,What is blockchain is a distributed ledger technology?,the strands are made of,slow expensive and most applications,0,0.0,1,0.0463,0.0,1.0,0.0,1.0,0.0463,contradicted,1,1,"Answer ""the strands are made of"" contradicts the evidence. The answer contains words (strands, made) that do not appear in the evidence at all. Evidence says: ""blockchain is a distributed ledger technology that underpins cryptocurrencies like bitcoin. each block contains a cryptographic hash of the previous block creating a chain. its supposed to be immutable and trustless. in practice its slow expensive and most applications havent found productmarket fit outside speculation."""
case_00459,What is cooking is both an art and?,code during ww2 which historians,code during ww2 which historians,1,1.0,1,0.0469,0.0,1.0,0.0,1.0,0.0469,contradicted,1,0,"Answer ""code during ww2 which historians"" contradicts the evidence. The answer contains words (code, which, historians) that do not appear in the evidence at all. Evidence says: ""cooking is both an art and a science. the maillard reaction is responsible for browning and flavor development when you sear meat. salt enhances flavor acid balances it. mise en place means having everything prepared before you start cooking. a sharp knife is safer than a dull one."""
case_00460,What is adults need 7-9 hours of sleep?,night for optimal,night for optimal,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0447,coherent,0,1,"Answer ""night for optimal"" is consistent with the evidence."
case_00461,What is the industrial revolution started in britain?,industrial revolution started in britain,industrial revolution started in britain,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.054,coherent,0,1,"Answer ""industrial revolution started in britain"" is consistent with the evidence."
case_00462,What is the earths average temperature has risen?,about 12C,about 12C,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.051,coherent,0,1,"Answer ""about 12C"" is consistent with the evidence."
case_00463,What is evolution by natural selection was proposed?,and silence,millions of,0,0.0,1,0.0476,0.0,1.0,0.0,1.0,0.0476,contradicted,1,1,"Answer ""and silence"" contradicts the evidence. The answer contains words (silence) that do not appear in the evidence at all. Evidence says: ""evolution by natural selection was proposed by charles darwin in on the origin of species 1859. individuals with advantageous traits survive and reproduce more. over millions of years this drives adaptation and speciation. its often mischaracterized as survival of the fittest"""
case_00464,What is marie curie was a physicist and?,the world the,the world the,1,1.0,1,0.0518,0.0,1.0,0.0,1.0,0.0518,contradicted,1,0,"Answer ""the world the"" contradicts the evidence. The answer contains words (world) that do not appear in the evidence at all. Evidence says: ""marie curie was a physicist and chemist who pioneered research on radioactivity. she discovered polonium and radium. she won nobel prizes in both physics and chemistry the first person to do so. she died of aplastic anemia from radiation exposure. her notebooks are still radioactive."""
case_00465,What is linux is a free open source?,unknown,unknown,1,1.0,1,0.0539,0.0,1.0,0.0,1.0,0.0539,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is linux is a free open source?"""
case_00466,What is the Earths lithosphere is divided into?,a few centimeters per,a few centimeters per,1,1.0,1,0.0476,0.0,1.0,0.0,1.0,0.0476,contradicted,1,0,"Answer ""a few centimeters per"" contradicts the evidence. The answer contains words (centimeters, per) that do not appear in the evidence at all. Evidence says: ""What is the Earths lithosphere is divided into?"""
case_00467,What is alan turing was a mathematician and?,powerful mongodb is,powerful mongodb is,1,1.0,1,0.0456,0.0,1.0,0.0,1.0,0.0456,contradicted,1,0,"Answer ""powerful mongodb is"" contradicts the evidence. The answer contains words (powerful, mongodb) that do not appear in the evidence at all. Evidence says: ""alan turing was a mathematician and computer scientist. he formalized the concept of computation with the turing machine. he cracked the enigma code during ww2 which historians say shortened the war by years. he was prosecuted for homosexuality and chemically castrated. he died of cyanide poisoning."""
case_00468,What is DNA has a double helix structure?,mirror script only about 15,mirror script only about 15,1,1.0,1,0.0505,0.0,1.0,0.0,1.0,0.0505,contradicted,1,0,"Answer ""mirror script only about 15"" contradicts the evidence. The answer contains words (mirror, script, about) that do not appear in the evidence at all. Evidence says: ""DNA has a double helix structure discovered by watson and crick in 1953 based on xray crystallography data from Rosalind Franklin. the strands are made of nucleotides A T C G. A pa"""
case_00469,What is the transformer architecture introduced in 2017?,eventually took over and became,GPT and T5 all,0,0.2222,1,0.0513,0.0,1.0,0.0,1.0,0.0513,contradicted,1,1,"Answer ""eventually took over and became"" contradicts the evidence. The answer contains words (eventually, took, became) that do not appear in the evidence at all. Evidence says: ""the transformer architecture introduced in 2017 by vaswani et al revolutionized NLP. its based on self-attention mechanisms that process all tokens in parallel unlike RNNs. BERT GPT and T5 all use transformers. some people argue theyre just really big matrix multiplications but hey it works."""
case_00470,What is da vinci was a renaissance polymath?,womens tennis for,womens tennis for,1,1.0,1,0.0505,0.0,1.0,0.0,1.0,0.0505,contradicted,1,0,"Answer ""womens tennis for"" contradicts the evidence. The answer contains words (womens, tennis) that do not appear in the evidence at all. Evidence says: ""da vinci was a renaissance polymath artist inventor and scientist. hes most famous for painting the mona lisa and the last supper. he filled notebooks with anatomical drawings flying machines and observations. he wrote in mirror script. only about 15 of his paintings survive."""
case_00471,What is japan is an island nation in?,physicist who developed the,island nation in east asia,0,0.0,1,0.0471,0.0,1.0,0.0,1.0,0.0471,contradicted,1,1,"Answer ""physicist who developed the"" contradicts the evidence. The answer contains words (physicist, who, developed) that do not appear in the evidence at all. Evidence says: ""japan is an island nation in east asia with a population of 125 million. its known for its blend of ancient traditions and cutting-edge technology. tokyo is the largest metropolitan area in the world. the country experiences frequent earthquakes including the 2011 disaster that caused a nuclear meltdown at Fukushima."""
case_00472,What is databases store organized data.?,was known for,like documents or,0,0.0,1,0.0496,0.0,1.0,0.0,1.0,0.0496,contradicted,1,1,"Answer ""was known for"" contradicts the evidence. The answer contains words (known) that do not appear in the evidence at all. Evidence says: ""databases store organized data. SQL databases use tables and relationships while NoSQL databases use various models like documents or keyvalue pairs. postgresql is open source and powerful. mongodb is popular but leads to data inconsistency. choosing the right database depends on your data model and access patterns."""
case_00473,What is ww2 lasted from 1939 to 1945?,the atomic,the atomic,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0482,coherent,0,1,"Answer ""the atomic"" is consistent with the evidence."
case_00474,What is rl is about an agent learning?,unknown,unknown,1,1.0,1,0.044,0.0,1.0,0.0,1.0,0.044,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is rl is about an agent learning?"""
case_00475,What is python and javascript are two of?,4x100m relay,just use the right tool,0,0.0,1,0.0481,0.0,1.0,0.0,1.0,0.0481,contradicted,1,1,"Answer ""4x100m relay"" contradicts the evidence. The answer contains words (relay) that do not appear in the evidence at all. Evidence says: ""python and javascript are two of the most popular programming languages. python dominates data science and ML while javascript rules web development. python uses indentation for blocks javascript uses curly braces. both are dynamically typed interpreted languages. the war between them is tiresome just use the right tool for the job."""
case_00476,What is gradient descent is the workhorse optimization?,involves organized,too small and,0,0.0,1,0.0496,0.0,1.0,0.0,1.0,0.0496,contradicted,1,1,"Answer ""involves organized"" contradicts the evidence. The answer contains words (involves, organized) that do not appear in the evidence at all. Evidence says: ""gradient descent is the workhorse optimization algorithm in machine learning. you compute the gradient of the loss function and take steps in the opposite direction. learning rate matters a lot too small and you never converge too large and you diverge. adaM is usually a safe default choice."""
case_00477,What is the Earths lithosphere is divided into?,float on the asthenosphere,float on the asthenosphere,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0519,coherent,0,1,"Answer ""float on the asthenosphere"" is consistent with the evidence."
case_00478,What is music is a universal human phenomenon?,unknown,unknown,1,1.0,1,0.049,0.0,1.0,0.0,1.0,0.049,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is music is a universal human phenomenon?"""
case_00479,What is einstein was a theoretical physicist who?,shows mass,shows mass,1,1.0,1,0.051,0.0,1.0,0.0,1.0,0.051,contradicted,1,0,"Answer ""shows mass"" contradicts the evidence. The answer contains words (shows, mass) that do not appear in the evidence at all. Evidence says: ""What is einstein was a theoretical physicist who?"""
case_00480,What is serena williams is one of the?,she played with,she played with,1,1.0,1,0.0464,0.0,1.0,0.0,1.0,0.0464,contradicted,1,0,"Answer ""she played with"" contradicts the evidence. The answer contains words (she, played) that do not appear in the evidence at all. Evidence says: ""What is serena williams is one of the?"""
case_00481,What is the French Revolution began in 1789?,reign of terror under,reign of terror under,1,1.0,1,0.0504,0.0,1.0,0.0,1.0,0.0504,contradicted,1,0,"Answer ""reign of terror under"" contradicts the evidence. The answer contains words (reign, terror) that do not appear in the evidence at all. Evidence says: ""What is the French Revolution began in 1789?"""
case_00482,What is usain bolt is the fastest human?,in the 1990s his,8 olympic gold medals,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0491,coherent,0,1,"Answer ""in the 1990s his"" is consistent with the evidence."
case_00483,What is most startups fail within the first?,developed the theory of relativity,fit is the hardest part,0,0.0,1,0.0468,0.0,1.0,0.0,1.0,0.0468,contradicted,1,1,"Answer ""developed the theory of relativity"" contradicts the evidence. The answer contains words (developed, theory, relativity) that do not appear in the evidence at all. Evidence says: ""most startups fail within the first 2 years. the ones that succeed often pivot from their original idea. finding productmarket fit is the hardest part. venture capital is a hitsdriven business where a few companies return the entire fund. the lean startup methodology emphasizes rapid iteration and validated learning."""
case_00484,What is coffee is one of the most?,unknown,unknown,1,1.0,1,0.0457,0.0,1.0,0.0,1.0,0.0457,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is coffee is one of the most?"""
case_00485,What is serena williams is one of the?,a terrible,a terrible,1,1.0,1,0.0482,0.0,1.0,0.0,1.0,0.0482,contradicted,1,0,"Answer ""a terrible"" contradicts the evidence. The answer contains words (terrible) that do not appear in the evidence at all. Evidence says: ""serena williams is one of the greatest tennis players of all time. she won 23 grand slam singles titles the most in the open era. she played with her sister venus and they dominated womens tennis for over a decade. shes """
case_00486,What is michael jordan is widely considered the?,BCE to 476 CE they,6 NBA championships,0,0.0,1,0.0498,0.0,1.0,1.0,1.0,0.0498,contradicted,1,1,"Answer ""BCE to 476 CE they"" contradicts the evidence. The answer contains words (bce, ce, they) that do not appear in the evidence at all; Key names or terms (ce, bce) found in the answer are missing from the evidence. Evidence says: ""michael jordan is widely considered the greatest basketball player ever. he won 6 NBA championships with the chicago bulls in the 1990s. his airness was known for his competitive drive and clutch performances. he also tried baseball and owned the charlotte hornets."""
case_00487,What is the cold war was a period?,nobody really understands it says,nobody really understands it says,1,1.0,1,0.0493,0.0,1.0,0.0,1.0,0.0493,contradicted,1,0,"Answer ""nobody really understands it says"" contradicts the evidence. The answer contains words (nobody, really, understands, it, says) that do not appear in the evidence at all. Evidence says: ""the cold war was a period of geopolitical tension between the US and Soviet Union from 1947 to 1991. they never fought directly but proxy wars happened in korea vietnam afghanistan. the space race and arms race were major features. the Berlin Wall fell in 1989 symbolizing the end."""
case_00488,What is cnns dominated computer vision for years?,hash of the previous,are the main tasks data,0,0.0,1,0.0498,0.0,1.0,0.0,1.0,0.0498,contradicted,1,1,"Answer ""hash of the previous"" contradicts the evidence. The answer contains words (hash, previous) that do not appear in the evidence at all. Evidence says: ""cnns dominated computer vision for years with their translation equivariance built in through convolutions. but now vision transformers are giving them a run for their money. image classification object detection segmentation are the main tasks. data augmentation is critical for generalization."""
case_00489,What is neural networks are computing systems vaguely?,mechanized textile production and,weight that adjusts,0,0.0,1,0.0478,0.0,1.0,0.0,1.0,0.0478,contradicted,1,1,"Answer ""mechanized textile production and"" contradicts the evidence. The answer contains words (mechanized, textile, production) that do not appear in the evidence at all. Evidence says: ""neural networks are computing systems vaguely inspired by biological brains. they consist of layers of interconnected nodes called neurons. each connection has a weight that adjusts during training. deep learning mea"""
case_00490,What is DNA has a double helix structure?,the antarctic,helix structure,0,0.0,1,0.0498,0.0,1.0,0.0,1.0,0.0498,contradicted,1,1,"Answer ""the antarctic"" contradicts the evidence. The answer contains words (antarctic) that do not appear in the evidence at all. Evidence says: ""DNA has a double helix structure discovered by watson and crick in 1953 based on xray crystallography data from Rosalind Franklin. the strands are made of nucleotides A T C G. A pairs with T and C pairs with G. human DNA has about 3 billion base pairs."""
case_00491,What is evolution by natural selection was proposed?,of years,of years,1,1.0,1,0.0466,0.0,1.0,0.0,1.0,0.0466,contradicted,1,0,"Answer ""of years"" contradicts the evidence. The answer contains words (years) that do not appear in the evidence at all. Evidence says: ""What is evolution by natural selection was proposed?"""
case_00492,What is cats and dogs are the two?,the two most,the two most,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0499,coherent,0,1,"Answer ""the two most"" is consistent with the evidence."
case_00493,What is frida kahlo was a mexican painter?,factories this process,that left her in pain,0,0.0,1,0.0504,0.0,1.0,0.0,1.0,0.0504,contradicted,1,1,"Answer ""factories this process"" contradicts the evidence. The answer contains words (factories, this, process) that do not appear in the evidence at all. Evidence says: ""frida kahlo was a mexican painter known for her self-portraits and surrealist style. she was in a terrible bus accident as a teenager that left her in pain her whole life. she married diego rivera twice. her work explores identity pai"""
case_00494,What is Photosynthesis is how plants convert sunlight?,sugar factories this process produces,sugar factories this process produces,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0524,coherent,0,1,"Answer ""sugar factories this process produces"" is consistent with the evidence."
case_00495,What is neural networks are computing systems vaguely?,neural networks are computing systems,neural networks are computing systems,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.046,coherent,0,1,"Answer ""neural networks are computing systems"" is consistent with the evidence."
case_00496,What is antarctica is the coldest driest and?,antarctic treaty preserves it,antarctic treaty preserves it,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0544,coherent,0,1,"Answer ""antarctic treaty preserves it"" is consistent with the evidence."
case_00497,What is pizza originated in naples italy as?,unknown,unknown,1,1.0,1,0.0498,0.0,1.0,0.0,1.0,0.0498,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is pizza originated in naples italy as?"""
case_00498,What is frida kahlo was a mexican painter?,known for her,known for her,1,1.0,1,0.0517,0.0,1.0,0.0,1.0,0.0517,contradicted,1,0,"Answer ""known for her"" contradicts the evidence. The answer contains words (known, her) that do not appear in the evidence at all. Evidence says: ""What is frida kahlo was a mexican painter?"""
case_00499,What is einstein was a theoretical physicist who?,famous equation Emc2,famous equation Emc2,1,1.0,1,0.0498,0.0,1.0,0.0,1.0,0.0498,contradicted,1,0,"Answer ""famous equation Emc2"" contradicts the evidence. The answer contains words (famous, equation) that do not appear in the evidence at all. Evidence says: ""What is einstein was a theoretical physicist who?"""
case_00500,What is quantum mechanics describes nature at the?,machine learning you compute,the atomic and subatomic scale,0,0.0,1,0.0687,0.0,0.75,0.0,0.75,0.0515,contradicted,1,1,"Answer ""machine learning you compute"" contradicts the evidence. The answer contains words (machine, learning, compute) that do not appear in the evidence at all. Evidence says: ""quantum mechanics describes nature at the atomic and subatomic scale. particles behave as both waves and particles depending on how you measure them. the schrodinger equation describes how quantum states evolve. observation collapses the wavefunction. nobody really understands it says feynman."""
case_00501,What is adults need 7-9 hours of sleep?,warming to 15C,warming to 15C,1,1.0,1,0.0452,0.0,1.0,0.0,1.0,0.0452,contradicted,1,0,"Answer ""warming to 15C"" contradicts the evidence. The answer contains words (warming) that do not appear in the evidence at all. Evidence says: ""adults need 7-9 hours of sleep per night for optimal health. sleep is when the brain clears waste products and consolidates memories. chronic sleep deprivation is linked to obesity heart disease and depression"""
case_00502,What is alan turing was a mathematician and?,was a,was a,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0496,coherent,0,1,"Answer ""was a"" is consistent with the evidence."
case_00503,What is michael jordan is widely considered the?,was known for his competitive,was known for his competitive,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0475,coherent,0,1,"Answer ""was known for his competitive"" is consistent with the evidence."
case_00504,What is the internet started as ARPANET a?,language unlike,a US military,0,0.0,1,0.0479,0.0,1.0,0.0,1.0,0.0479,contradicted,1,1,"Answer ""language unlike"" contradicts the evidence. The answer contains words (language, unlike) that do not appear in the evidence at all. Evidence says: ""the internet started as ARPANET a US military project in the 1960s. tim bernerslee invented the world wide web in 1989. now theres like 5 billion users. its basically a series of tubes filled with cat videos and arguments. net neutrality is a recurring political issue."""
