id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu_before,mu_after,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation,fix_type,fix_query,rag_improved
case_00401,What is the roman empire at its peak?,traits survive and reproduce more,traits survive and reproduce more,1,1.0,1,0.0498,1.0,0.0047,0.0,0.0,0.0047,0.0498,coherent,0,0,"Answer ""traits survive and reproduce more"" is consistent with the evidence.",lexical,traits survive reproduce,1
case_00402,What is brazil is the largest country in?,secret key first RSA,rio de,0,0.0,1,0.0491,1.0,0.0014,0.0,0.0,0.0014,0.0491,coherent,0,1,"Answer ""secret key first RSA"" is consistent with the evidence.",entity,secret key first rsa rsa,1
case_00403,What is cryptography is the practice of secure?,17000 people,is still considered secure,0,0.0,1,0.0494,1.0,0.0028,0.0,0.0,0.0028,0.0494,coherent,0,1,"Answer ""17000 people"" is consistent with the evidence.",lexical,people,1
case_00404,What is the moon is earths only natural?,began in 1789,km away and 14 the,0,0.0,1,0.0498,1.0,0.031,0.0,0.0,0.031,0.0498,coherent,0,1,"Answer ""began in 1789"" is consistent with the evidence.",lexical,began,1
case_00405,What is gradient descent is the workhorse optimization?,of the Bastille the motto,descent is the,0,0.0,1,0.0499,1.0,0.0025,0.0,0.0,0.0025,0.0499,coherent,0,1,"Answer ""of the Bastille the motto"" is consistent with the evidence.",entity,bastille motto bastille,1
case_00406,What is blockchain is a distributed ledger technology?,the motto,immutable and,0,0.0,1,0.0466,1.0,0.0018,0.0,0.0,0.0018,0.0466,coherent,0,1,"Answer ""the motto"" is consistent with the evidence.",lexical,motto,1
case_00407,What is cooking is both an art and?,the first person,the first person,1,1.0,1,0.0457,1.0,0.0049,0.0,0.0,0.0049,0.0457,coherent,0,0,"Answer ""the first person"" is consistent with the evidence.",lexical,first person,1
case_00408,What is adults need 7-9 hours of sleep?,one of the greatest tennis,screens before bed,0,0.0,1,0.0503,1.0,0.0008,0.0,0.0,0.0008,0.0503,coherent,0,1,"Answer ""one of the greatest tennis"" is consistent with the evidence.",lexical,one greatest tennis,1
case_00409,What is the industrial revolution started in britain?,at first with child,at first with child,1,1.0,1,1.0,1.0,0.0037,0.0,0.0,0.0037,0.0547,coherent,0,1,"Answer ""at first with child"" is consistent with the evidence.",none,,0
case_00410,What is the earths average temperature has risen?,atomic bombings of,weather and biodiversity loss,0,0.0,1,0.0512,1.0,0.0017,0.0,0.0,0.0017,0.0512,coherent,0,1,"Answer ""atomic bombings of"" is consistent with the evidence.",lexical,atomic bombings,1
case_00411,What is evolution by natural selection was proposed?,models like documents,models like documents,1,1.0,1,0.0451,1.0,0.0038,0.0,0.0,0.0038,0.0451,coherent,0,0,"Answer ""models like documents"" is consistent with the evidence.",lexical,models like documents,1
case_00412,What is marie curie was a physicist and?,world champion and how,world champion and how,1,1.0,1,0.0507,1.0,0.0015,0.0,0.0,0.0015,0.0507,coherent,0,0,"Answer ""world champion and how"" is consistent with the evidence.",lexical,world champion,1
case_00413,What is linux is a free open source?,them a run for their,android phones and supercomputers theres,0,0.0,1,0.051,1.0,0.0014,0.0,0.0,0.0014,0.051,coherent,0,1,"Answer ""them a run for their"" is consistent with the evidence.",lexical,them run their,1
case_00414,What is the Earths lithosphere is divided into?,ago while cats domesticated,when first,0,0.0,1,0.0471,1.0,0.0006,0.0,0.0,0.0006,0.0471,coherent,0,1,"Answer ""ago while cats domesticated"" is consistent with the evidence.",lexical,ago cats domesticated,1
case_00415,What is alan turing was a mathematician and?,the open era she played,he cracked the,0,0.0,1,0.0456,0.2819,0.1634,0.0,0.0,0.1634,0.0456,weak,0,1,"Answer ""the open era she played"" is consistent with the evidence.",lexical,open era she played,0
case_00416,What is DNA has a double helix structure?,in 1953,in 1953,1,1.0,1,1.0,1.0,0.0046,0.0,0.0,0.0046,0.05,coherent,0,1,"Answer ""in 1953"" is consistent with the evidence.",none,,0
case_00417,What is the transformer architecture introduced in 2017?,based on self-attention mechanisms that,based on self-attention mechanisms that,1,1.0,1,0.0513,1.0,0.0067,0.0,0.0,0.0067,0.0513,coherent,0,0,"Answer ""based on self-attention mechanisms that"" is consistent with the evidence.",lexical,based self attention mechanisms that,1
case_00418,What is da vinci was a renaissance polymath?,mirror script only about,mirror script only about,1,1.0,1,1.0,1.0,0.0005,0.0,0.0,0.0005,0.0486,coherent,0,1,"Answer ""mirror script only about"" is consistent with the evidence.",none,,0
case_00419,What is japan is an island nation in?,you diverge,known for its,0,0.0,1,0.0456,1.0,0.0006,0.0,0.0,0.0006,0.0456,coherent,0,1,"Answer ""you diverge"" is consistent with the evidence.",lexical,you diverge,1
case_00420,What is databases store organized data.?,on your data,on your data,1,1.0,1,1.0,1.0,0.0013,0.0,0.0,0.0013,0.0536,coherent,0,1,"Answer ""on your data"" is consistent with the evidence.",none,,0
case_00421,What is ww2 lasted from 1939 to 1945?,ended with,ended with,1,1.0,1,0.0635,0.0635,0.7263,0.0,0.0,0.7263,0.0461,contradicted,1,1,"Answer ""ended with"" contradicts the evidence. The NLI model finds that 'ended with' semantically contradicts the evidence (NLI score: 0.73). Evidence says: ""the war ended with the atomic bombings of hiroshima and nagasaki.""",nli,What is ww2 lasted from 1939 to 1945? ended with,0
case_00422,What is rl is about an agent learning?,DNA has a,DNA has a,1,1.0,1,0.0434,1.0,0.0032,0.0,0.0,0.0032,0.0434,coherent,0,0,"Answer ""DNA has a"" is consistent with the evidence.",entity,dna dna,1
case_00423,What is python and javascript are two of?,blocks javascript uses,blocks javascript uses,1,1.0,1,0.0787,1.0,0.0141,0.0,0.0,0.0141,0.0524,coherent,0,0,"Answer ""blocks javascript uses"" is consistent with the evidence.",lexical,blocks javascript uses,1
case_00424,What is gradient descent is the workhorse optimization?,dogs were domesticated about 15000,steps in the opposite,0,0.0,1,0.0522,1.0,0.003,0.0,0.0,0.003,0.0522,coherent,0,1,"Answer ""dogs were domesticated about 15000"" is consistent with the evidence.",lexical,dogs domesticated about,1
case_00425,What is the Earths lithosphere is divided into?,and energy are,and energy are,1,1.0,1,0.0493,1.0,0.0358,0.0,0.0,0.0358,0.0493,coherent,0,0,"Answer ""and energy are"" is consistent with the evidence.",lexical,energy,1
case_00426,What is music is a universal human phenomenon?,played with her,a universal human,0,0.0,1,0.0494,1.0,0.0039,0.0,0.0,0.0039,0.0494,coherent,0,1,"Answer ""played with her"" is consistent with the evidence.",lexical,played her,1
case_00427,What is einstein was a theoretical physicist who?,unknown,unknown,1,1.0,1,0.0514,0.0514,0.0064,1.0,0.0,1.0,0.0514,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is einstein was a theoretical physicist who?""",lexical,unknown,0
case_00428,What is serena williams is one of the?,started as ARPANET a,the most,0,0.0,1,0.0464,1.0,0.002,0.0,0.0,0.002,0.0464,coherent,0,1,"Answer ""started as ARPANET a"" is consistent with the evidence.",entity,started arpanet arpanet,1
case_00429,What is the French Revolution began in 1789?,titles the most in,eventually took over and became,0,0.0,1,0.0495,1.0,0.0013,0.0,0.0,0.0013,0.0495,coherent,0,1,"Answer ""titles the most in"" is consistent with the evidence.",lexical,titles,1
case_00430,What is usain bolt is the fastest human?,to 1991 they never fought,timed he holds,0,0.0,1,0.05,0.05,0.9982,1.0,0.0,1.0,0.05,contradicted,1,1,"Answer ""to 1991 they never fought"" contradicts the evidence. The NLI model finds that 'to 1991 they never fought' semantically contradicts the evidence (NLI score: 1.00); The answer contains words (they, never, fought) that do not appear in the evidence at all. Evidence says: ""usain bolt is the fastest human ever timed. he holds world records in the 100m 200m and 4x100m relay. from jamaica he won 8 olympic gold medals. his signature celebration is the lightning bolt pose. he retired in 2017 and tried football unsuccessfully.""",nli,they never fought What is usain bolt is the fastest human? to 1991 they never fought,0
case_00431,What is most startups fail within the first?,frida kahlo was,frida kahlo was,1,1.0,1,0.0507,1.0,0.0052,0.0,0.0,0.0052,0.0507,coherent,0,0,"Answer ""frida kahlo was"" is consistent with the evidence.",lexical,frida kahlo,1
case_00432,What is coffee is one of the most?,and most applications havent,from roasted coffee,0,0.0,1,0.0491,1.0,0.0013,0.0,0.0,0.0013,0.0491,coherent,0,1,"Answer ""and most applications havent"" is consistent with the evidence.",lexical,applications havent,1
case_00433,What is serena williams is one of the?,de Janeiro is famous for,the greatest tennis players,0,0.0,1,0.0466,1.0,0.0004,0.0,0.0,0.0004,0.0466,coherent,0,1,"Answer ""de Janeiro is famous for"" is consistent with the evidence.",entity,de janeiro famous janeiro,1
case_00434,What is michael jordan is widely considered the?,G A pairs,G A pairs,1,1.0,1,0.0488,1.0,0.0034,0.0,0.0,0.0034,0.0488,coherent,0,0,"Answer ""G A pairs"" is consistent with the evidence.",lexical,g pairs,1
case_00435,What is the cold war was a period?,that adjusts during training,that adjusts during training,1,1.0,1,0.0502,0.1697,0.2802,0.0,0.0,0.2802,0.0502,weak,0,0,"Answer ""that adjusts during training"" is consistent with the evidence.",lexical,that adjusts training,0
case_00436,What is cnns dominated computer vision for years?,a run for their,a run for their,1,1.0,1,1.0,1.0,0.0032,0.0,0.0,0.0032,0.049,coherent,0,1,"Answer ""a run for their"" is consistent with the evidence.",none,,0
case_00437,What is neural networks are computing systems vaguely?,xray crystallography data from,xray crystallography data from,1,1.0,1,0.046,1.0,0.0014,0.0,0.0,0.0014,0.046,coherent,0,0,"Answer ""xray crystallography data from"" is consistent with the evidence.",lexical,xray crystallography data,1
case_00438,What is DNA has a double helix structure?,C G,C G,1,1.0,1,1.0,1.0,0.0089,0.0,0.0,0.0089,0.0494,coherent,0,1,"Answer ""C G"" is consistent with the evidence.",none,,0
case_00439,What is evolution by natural selection was proposed?,military project in the,military project in the,1,1.0,1,0.0471,1.0,0.011,0.0,0.0,0.011,0.0471,coherent,0,0,"Answer ""military project in the"" is consistent with the evidence.",lexical,military project,1
case_00440,What is cats and dogs are the two?,with the turing machine,pets in the,0,0.0,1,0.0514,0.0514,0.9535,1.0,0.0,1.0,0.0514,contradicted,1,1,"Answer ""with the turing machine"" contradicts the evidence. The NLI model finds that 'with the turing machine' semantically contradicts the evidence (NLI score: 0.95); The answer contains words (turing, machine) that do not appear in the evidence at all. Evidence says: ""cats and dogs are the two most popular pets in the world. dogs were domesticated about 15000 years ago while cats domesticated themselves about 10000 years ago. the internets favorite debate. dogs are pack animals cats are solitary. both are fine honestly depends on your lifestyle.""",nli,turing machine What is cats and dogs are the two? with the turing machine,0
case_00441,What is frida kahlo was a mexican painter?,humanitys greatest achievements conspiracy,rivera twice her work explores,0,0.0,1,0.0514,1.0,0.002,0.0,0.0,0.002,0.0514,coherent,0,1,"Answer ""humanitys greatest achievements conspiracy"" is consistent with the evidence.",lexical,humanitys greatest achievements conspiracy,1
case_00442,What is Photosynthesis is how plants convert sunlight?,sunlight into chemical,sunlight into chemical,1,1.0,1,0.0962,1.0,0.0028,0.0,0.0,0.0028,0.0481,coherent,0,0,"Answer ""sunlight into chemical"" is consistent with the evidence.",lexical,sunlight chemical,1
case_00443,What is neural networks are computing systems vaguely?,of sleep per night,computing systems,0,0.0,1,0.0494,0.1396,0.346,0.0,0.0,0.346,0.0494,weak,0,1,"Answer ""of sleep per night"" may not match the evidence. Partial word overlap with evidence. Evidence: ""adults need 7-9 hours of sleep per night for optimal health.""",lexical,sleep per night,0
case_00444,What is antarctica is the coldest driest and?,preserves it for,preserves it for,1,1.0,1,0.0521,1.0,0.0072,0.0,0.0,0.0072,0.0521,coherent,0,0,"Answer ""preserves it for"" is consistent with the evidence.",lexical,preserves it,1
case_00445,What is pizza originated in naples italy as?,competitive drive and clutch,controversal but,0,0.0,1,0.0508,1.0,0.0032,0.0,0.0,0.0032,0.0508,coherent,0,1,"Answer ""competitive drive and clutch"" is consistent with the evidence.",lexical,competitive drive clutch,1
case_00446,What is frida kahlo was a mexican painter?,painter known for her self-portraits,painter known for her self-portraits,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0539,coherent,0,1,"Answer ""painter known for her self-portraits"" is consistent with the evidence.",none,,0
case_00447,What is einstein was a theoretical physicist who?,unknown,unknown,1,1.0,1,0.0514,0.0514,0.0064,1.0,0.0,1.0,0.0514,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is einstein was a theoretical physicist who?""",lexical,unknown,0
case_00448,What is quantum mechanics describes nature at the?,collapses the wavefunction,collapses the wavefunction,1,1.0,1,1.0,1.0,0.0009,0.0,0.0,0.0009,0.0458,coherent,0,1,"Answer ""collapses the wavefunction"" is consistent with the evidence.",none,,0
case_00449,What is adults need 7-9 hours of sleep?,jordan is widely considered,jordan is widely considered,1,1.0,1,0.0419,1.0,0.0009,0.0,0.0,0.0009,0.0419,coherent,0,0,"Answer ""jordan is widely considered"" is consistent with the evidence.",lexical,jordan widely considered,1
case_00450,What is alan turing was a mathematician and?,is widely,is widely,1,1.0,1,0.0483,1.0,0.0397,0.0,0.0,0.0397,0.0483,coherent,0,0,"Answer ""is widely"" is consistent with the evidence.",lexical,widely,1
case_00451,What is michael jordan is widely considered the?,famous for,famous for,1,1.0,1,0.0471,1.0,0.0006,0.0,0.0,0.0006,0.0471,coherent,0,0,"Answer ""famous for"" is consistent with the evidence.",lexical,famous,1
case_00452,What is the internet started as ARPANET a?,1960s tim bernerslee invented the,1960s tim bernerslee invented the,1,1.0,1,1.0,1.0,0.0009,0.0,0.0,0.0009,0.049,coherent,0,1,"Answer ""1960s tim bernerslee invented the"" is consistent with the evidence.",none,,0
case_00453,What is the roman empire at its peak?,scales and instruments streaming has,latin alphabet to western civilization,0,0.0,1,0.0478,1.0,0.0034,0.0,0.0,0.0034,0.0478,coherent,0,1,"Answer ""scales and instruments streaming has"" is consistent with the evidence.",lexical,scales instruments streaming,1
case_00454,What is brazil is the largest country in?,in south america covering nearly,in south america covering nearly,1,1.0,1,0.0519,1.0,0.0017,0.0,0.0,0.0017,0.0519,coherent,0,0,"Answer ""in south america covering nearly"" is consistent with the evidence.",lexical,south america covering nearly,1
case_00455,What is cryptography is the practice of secure?,driven by mantle,in the presence of,0,0.0,1,0.0467,1.0,0.003,0.0,0.0,0.003,0.0467,coherent,0,1,"Answer ""driven by mantle"" is consistent with the evidence.",lexical,driven mantle,1
case_00456,What is the moon is earths only natural?,was faked but theres overwhelming,was faked but theres overwhelming,1,1.0,1,1.0,1.0,0.0008,0.0,0.0,0.0008,0.0488,coherent,0,1,"Answer ""was faked but theres overwhelming"" is consistent with the evidence.",none,,0
case_00457,What is gradient descent is the workhorse optimization?,gradient descent is,gradient descent is,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0516,coherent,0,1,"Answer ""gradient descent is"" is consistent with the evidence.",none,,0
case_00458,What is blockchain is a distributed ledger technology?,the strands are made of,slow expensive and most applications,0,0.0,1,0.0463,1.0,0.0013,0.0,0.0,0.0013,0.0463,coherent,0,1,"Answer ""the strands are made of"" is consistent with the evidence.",lexical,strands made,1
case_00459,What is cooking is both an art and?,code during ww2 which historians,code during ww2 which historians,1,1.0,1,0.0469,1.0,0.0052,0.0,0.0,0.0052,0.0469,coherent,0,0,"Answer ""code during ww2 which historians"" is consistent with the evidence.",lexical,code which historians,1
case_00460,What is adults need 7-9 hours of sleep?,night for optimal,night for optimal,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0447,coherent,0,1,"Answer ""night for optimal"" is consistent with the evidence.",none,,0
case_00461,What is the industrial revolution started in britain?,industrial revolution started in britain,industrial revolution started in britain,1,1.0,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.054,coherent,0,1,"Answer ""industrial revolution started in britain"" is consistent with the evidence.",none,,0
case_00462,What is the earths average temperature has risen?,about 12C,about 12C,1,1.0,1,1.0,1.0,0.0046,0.0,0.0,0.0046,0.051,coherent,0,1,"Answer ""about 12C"" is consistent with the evidence.",none,,0
case_00463,What is evolution by natural selection was proposed?,and silence,millions of,0,0.0,1,0.0476,1.0,0.0024,0.0,0.0,0.0024,0.0476,coherent,0,1,"Answer ""and silence"" is consistent with the evidence.",lexical,silence,1
case_00464,What is marie curie was a physicist and?,the world the,the world the,1,1.0,1,0.0518,1.0,0.0016,0.0,0.0,0.0016,0.0518,coherent,0,0,"Answer ""the world the"" is consistent with the evidence.",lexical,world,1
case_00465,What is linux is a free open source?,unknown,unknown,1,1.0,1,0.0539,0.0539,0.0028,1.0,0.0,1.0,0.0539,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is linux is a free open source?""",lexical,unknown,0
case_00466,What is the Earths lithosphere is divided into?,a few centimeters per,a few centimeters per,1,1.0,1,0.0476,1.0,0.0431,0.0,0.0,0.0431,0.0476,coherent,0,0,"Answer ""a few centimeters per"" is consistent with the evidence.",lexical,centimeters per,1
case_00467,What is alan turing was a mathematician and?,powerful mongodb is,powerful mongodb is,1,1.0,1,0.0456,0.1622,0.2858,0.0,0.0,0.2858,0.0456,weak,0,0,"Answer ""powerful mongodb is"" is consistent with the evidence.",lexical,powerful mongodb,0
case_00468,What is DNA has a double helix structure?,mirror script only about 15,mirror script only about 15,1,1.0,1,0.0505,1.0,0.0033,0.0,0.0,0.0033,0.0505,coherent,0,0,"Answer ""mirror script only about 15"" is consistent with the evidence.",lexical,mirror script about,1
case_00469,What is the transformer architecture introduced in 2017?,eventually took over and became,GPT and T5 all,0,0.2222,1,0.0513,1.0,0.0049,0.0,0.0,0.0049,0.0513,coherent,0,1,"Answer ""eventually took over and became"" is consistent with the evidence.",lexical,eventually took became,1
case_00470,What is da vinci was a renaissance polymath?,womens tennis for,womens tennis for,1,1.0,1,0.0505,1.0,0.0014,0.0,0.0,0.0014,0.0505,coherent,0,0,"Answer ""womens tennis for"" is consistent with the evidence.",lexical,womens tennis,1
case_00471,What is japan is an island nation in?,physicist who developed the,island nation in east asia,0,0.0,1,0.0471,1.0,0.0009,0.0,0.0,0.0009,0.0471,coherent,0,1,"Answer ""physicist who developed the"" is consistent with the evidence.",lexical,physicist who developed,1
case_00472,What is databases store organized data.?,was known for,like documents or,0,0.0,1,0.0496,1.0,0.0111,0.0,0.0,0.0111,0.0496,coherent,0,1,"Answer ""was known for"" is consistent with the evidence.",lexical,known,1
case_00473,What is ww2 lasted from 1939 to 1945?,the atomic,the atomic,1,1.0,1,1.0,1.0,0.0054,0.0,0.0,0.0054,0.0482,coherent,0,1,"Answer ""the atomic"" is consistent with the evidence.",none,,0
case_00474,What is rl is about an agent learning?,unknown,unknown,1,1.0,1,0.044,0.044,0.0083,1.0,0.0,1.0,0.044,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is rl is about an agent learning?""",lexical,unknown,0
case_00475,What is python and javascript are two of?,4x100m relay,just use the right tool,0,0.0,1,0.0481,1.0,0.0054,0.0,0.0,0.0054,0.0481,coherent,0,1,"Answer ""4x100m relay"" is consistent with the evidence.",lexical,relay,1
case_00476,What is gradient descent is the workhorse optimization?,involves organized,too small and,0,0.0,1,0.0496,1.0,0.0017,0.0,0.0,0.0017,0.0496,coherent,0,1,"Answer ""involves organized"" is consistent with the evidence.",lexical,involves organized,1
case_00477,What is the Earths lithosphere is divided into?,float on the asthenosphere,float on the asthenosphere,1,1.0,1,1.0,1.0,0.0023,0.0,0.0,0.0023,0.0519,coherent,0,1,"Answer ""float on the asthenosphere"" is consistent with the evidence.",none,,0
case_00478,What is music is a universal human phenomenon?,unknown,unknown,1,1.0,1,0.049,0.049,0.0103,1.0,0.0,1.0,0.049,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is music is a universal human phenomenon?""",lexical,unknown,0
case_00479,What is einstein was a theoretical physicist who?,shows mass,shows mass,1,1.0,1,0.051,1.0,0.0064,0.0,0.0,0.0064,0.051,coherent,0,0,"Answer ""shows mass"" is consistent with the evidence.",lexical,shows mass,1
case_00480,What is serena williams is one of the?,she played with,she played with,1,1.0,1,0.0464,1.0,0.0096,0.0,0.0,0.0096,0.0464,coherent,0,0,"Answer ""she played with"" is consistent with the evidence.",lexical,she played,1
case_00481,What is the French Revolution began in 1789?,reign of terror under,reign of terror under,1,1.0,1,0.0504,1.0,0.0019,0.0,0.0,0.0019,0.0504,coherent,0,0,"Answer ""reign of terror under"" is consistent with the evidence.",lexical,reign terror,1
case_00482,What is usain bolt is the fastest human?,in the 1990s his,8 olympic gold medals,0,0.0,1,0.0492,0.0492,0.9989,0.0,0.0,0.9989,0.0491,contradicted,1,1,"Answer ""in the 1990s his"" contradicts the evidence. The NLI model finds that 'in the 1990s his' semantically contradicts the evidence (NLI score: 1.00). Evidence says: ""usain bolt is the fastest human ever timed. he holds world records in the 100m 200m and 4x100m relay. from jamaica he won 8 olympic gold medals. his signature celebration is the lightning bolt pose. he retired in 2017 and tried football unsuccessfully.""",nli,What is usain bolt is the fastest human? in the 1990s his,0
case_00483,What is most startups fail within the first?,developed the theory of relativity,fit is the hardest part,0,0.0,1,0.0468,1.0,0.0074,0.0,0.0,0.0074,0.0468,coherent,0,1,"Answer ""developed the theory of relativity"" is consistent with the evidence.",lexical,developed theory relativity,1
case_00484,What is coffee is one of the most?,unknown,unknown,1,1.0,1,0.0457,0.0457,0.0014,1.0,0.0,1.0,0.0457,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is coffee is one of the most?""",lexical,unknown,0
case_00485,What is serena williams is one of the?,a terrible,a terrible,1,1.0,1,0.0482,1.0,0.0007,0.0,0.0,0.0007,0.0482,coherent,0,0,"Answer ""a terrible"" is consistent with the evidence.",lexical,terrible,1
case_00486,What is michael jordan is widely considered the?,BCE to 476 CE they,6 NBA championships,0,0.0,1,0.0498,1.0,0.0034,0.0,0.0,0.0034,0.0498,coherent,0,1,"Answer ""BCE to 476 CE they"" is consistent with the evidence.",entity,bce ce they bce ce,1
case_00487,What is the cold war was a period?,nobody really understands it says,nobody really understands it says,1,1.0,1,0.0493,1.0,0.0422,0.0,0.0,0.0422,0.0493,coherent,0,0,"Answer ""nobody really understands it says"" is consistent with the evidence.",lexical,nobody really understands it says,1
case_00488,What is cnns dominated computer vision for years?,hash of the previous,are the main tasks data,0,0.0,1,0.0498,0.0498,0.8412,1.0,0.0,1.0,0.0498,contradicted,1,1,"Answer ""hash of the previous"" contradicts the evidence. The NLI model finds that 'hash of the previous' semantically contradicts the evidence (NLI score: 0.84); The answer contains words (hash, previous) that do not appear in the evidence at all. Evidence says: ""cnns dominated computer vision for years with their translation equivariance built in through convolutions. but now vision transformers are giving them a run for their money. image classification object detection segmentation are the main tasks. data augmentation is critical for generalization.""",nli,hash previous What is cnns dominated computer vision for years? hash of the previous,0
case_00489,What is neural networks are computing systems vaguely?,mechanized textile production and,weight that adjusts,0,0.0,1,0.0478,1.0,0.0011,0.0,0.0,0.0011,0.0478,coherent,0,1,"Answer ""mechanized textile production and"" is consistent with the evidence.",lexical,mechanized textile production,1
case_00490,What is DNA has a double helix structure?,the antarctic,helix structure,0,0.0,1,0.0498,1.0,0.0013,0.0,0.0,0.0013,0.0498,coherent,0,1,"Answer ""the antarctic"" is consistent with the evidence.",lexical,antarctic,1
case_00491,What is evolution by natural selection was proposed?,of years,of years,1,1.0,1,0.0466,1.0,0.0226,0.0,0.0,0.0226,0.0466,coherent,0,0,"Answer ""of years"" is consistent with the evidence.",lexical,years,1
case_00492,What is cats and dogs are the two?,the two most,the two most,1,1.0,1,1.0,1.0,0.0005,0.0,0.0,0.0005,0.0499,coherent,0,1,"Answer ""the two most"" is consistent with the evidence.",none,,0
case_00493,What is frida kahlo was a mexican painter?,factories this process,that left her in pain,0,0.0,1,0.0504,1.0,0.0019,0.0,0.0,0.0019,0.0504,coherent,0,1,"Answer ""factories this process"" is consistent with the evidence.",lexical,factories this process,1
case_00494,What is Photosynthesis is how plants convert sunlight?,sugar factories this process produces,sugar factories this process produces,1,1.0,1,1.0,1.0,0.0028,0.0,0.0,0.0028,0.0524,coherent,0,1,"Answer ""sugar factories this process produces"" is consistent with the evidence.",none,,0
case_00495,What is neural networks are computing systems vaguely?,neural networks are computing systems,neural networks are computing systems,1,1.0,1,1.0,1.0,0.0011,0.0,0.0,0.0011,0.046,coherent,0,1,"Answer ""neural networks are computing systems"" is consistent with the evidence.",none,,0
case_00496,What is antarctica is the coldest driest and?,antarctic treaty preserves it,antarctic treaty preserves it,1,1.0,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.0544,coherent,0,1,"Answer ""antarctic treaty preserves it"" is consistent with the evidence.",none,,0
case_00497,What is pizza originated in naples italy as?,unknown,unknown,1,1.0,1,0.0498,0.0498,0.0066,1.0,0.0,1.0,0.0498,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is pizza originated in naples italy as?""",lexical,unknown,0
case_00498,What is frida kahlo was a mexican painter?,known for her,known for her,1,1.0,1,0.0517,1.0,0.0013,0.0,0.0,0.0013,0.0517,coherent,0,0,"Answer ""known for her"" is consistent with the evidence.",lexical,known her,1
case_00499,What is einstein was a theoretical physicist who?,famous equation Emc2,famous equation Emc2,1,1.0,1,0.0498,1.0,0.0315,0.0,0.0,0.0315,0.0498,coherent,0,0,"Answer ""famous equation Emc2"" is consistent with the evidence.",lexical,famous equation,1
case_00500,What is quantum mechanics describes nature at the?,machine learning you compute,the atomic and subatomic scale,0,0.0,1,0.0556,0.0556,0.927,0.75,0.0,0.927,0.0515,contradicted,1,1,"Answer ""machine learning you compute"" contradicts the evidence. The NLI model finds that 'machine learning you compute' semantically contradicts the evidence (NLI score: 0.93); The answer contains words (machine, learning, compute) that do not appear in the evidence at all. Evidence says: ""quantum mechanics describes nature at the atomic and subatomic scale. particles behave as both waves and particles depending on how you measure them. the schrodinger equation describes how quantum states evolve. observation collapses the wavefunction. nobody really understands it says feynman.""",nli,machine learning you compute What is quantum mechanics describes nature at the? machine learning you compute,0
case_00501,What is adults need 7-9 hours of sleep?,warming to 15C,warming to 15C,1,1.0,1,0.0452,1.0,0.0011,0.0,0.0,0.0011,0.0452,coherent,0,0,"Answer ""warming to 15C"" is consistent with the evidence.",lexical,warming,1
case_00502,What is alan turing was a mathematician and?,was a,was a,1,1.0,1,1.0,1.0,0.0017,0.0,0.0,0.0017,0.0496,coherent,0,1,"Answer ""was a"" is consistent with the evidence.",none,,0
case_00503,What is michael jordan is widely considered the?,was known for his competitive,was known for his competitive,1,1.0,1,1.0,1.0,0.0034,0.0,0.0,0.0034,0.0475,coherent,0,1,"Answer ""was known for his competitive"" is consistent with the evidence.",none,,0
case_00504,What is the internet started as ARPANET a?,language unlike,a US military,0,0.0,1,0.0479,1.0,0.0129,0.0,0.0,0.0129,0.0479,coherent,0,1,"Answer ""language unlike"" is consistent with the evidence.",lexical,language unlike,1
case_00505,What is the roman empire at its peak?,for homosexuality and chemically,the fall,0,0.0,1,0.0476,1.0,0.0032,0.0,0.0,0.0032,0.0476,coherent,0,1,"Answer ""for homosexuality and chemically"" is consistent with the evidence.",lexical,homosexuality chemically,1
case_00506,What is brazil is the largest country in?,unknown,unknown,1,1.0,1,0.0496,0.0496,0.0066,1.0,0.0,1.0,0.0496,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is brazil is the largest country in?""",lexical,unknown,0
